Марка;Ссылка;Цена в $;Цена в UAH;Город
Renault Express 2021Zen 1.6 МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-express-1866983.html;17 346 $;463 700 грн;Умань
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866982.html;15 528 $;415 100 грн;Умань
Renault Arkana 2021Life 1.6i MT (114 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1866984.html;18 065 $;482 900 грн;Умань
Renault Duster 2021Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1866761.html;18 005 $;481 300 грн;Харьков
Renault Captur 2021Intense 1.3i 7-EDC (155 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1866684.html;24 789 $;662 654 грн;Одесса
Renault Duster 2021Zen 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1866764.html;22 071 $;590 000 грн;Харьков
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1855402.html;12 180 $;325 600 грн;Черновцы
Renault Kadjar 2021Zen 1.5 DCi MT6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1863626.html;25 135 $;671 900 грн;Измаил
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1844592.html;16 403 $;438 472 грн;Измаил
Renault Arkana 2020Intense 1.3 TCe CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1866382.html;27 253 $;728 511 грн;Одесса
Renault Logan 2020Life+ New 0.9 MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1854364.html;13 467 $;360 000 грн;Чернигов
Renault Duster 2021Zen 1.5 D MT (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1858434.html;21 510 $; 22 483 $;Луцк
Renault Captur 2021Zen 1.3 TCe 7-EDC (130 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1864002.html;24 989 $;668 000 грн;Черкассы
Renault Logan 2021Zen New 0.9 MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1866587.html;13 732 $;367 086 грн;Одесса
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1844828.html;15 483 $;413 878 грн;Измаил
Renault Arkana 2021Zen 1.6 CVT (114 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1866586.html;21 132 $;564 892 грн;Одесса
Renault Captur 20211.3i 7-EDC (155 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1863968.html;25 016 $;668 723 грн;Николаев
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866974.html;16 360 $;437 333 грн;Николаев
Renault Express 2021Life 1.6 МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-express-1866249.html;16 605 $;443 871 грн;Чернигов
Renault Master груз. 2021TFG 1 323 D6 2.3D MT (125 л.с.) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1864305.html;32 733 $;875 000 грн;Черкассы
Renault Lodgy 2021Zen 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1865659.html;20 108 $;537 512 грн;Николаев
Renault Sandero 2021Life+ 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1855107.html;11 483 $;306 965 грн;Одесса
Renault Duster 2021Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1860929.html;16 710 $;446 700 грн;Одесса
Renault Express 2021Life 1.6 МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-express-1864120.html;16 460 $;440 000 грн;Луцк
Renault Dokker пасс. 2021Expression 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-pass-1864007.html;19 078 $;510 000 грн;Черкассы
Renault Express Van 2021Zen 1.5D МТ (95 л.с.);https://auto.ria.com/newauto/auto-renault-express-van-1866890.html;18 035 $;482 093 грн;Николаев
Renault Sandero StepWay 2020Ultramarine 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1863564.html;16 609 $;444 000 грн;Херсон
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866866.html;16 333 $;436 610 грн;Киев
Renault Duster 2021Zen 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1860713.html;22 909 $;612 392 грн;Луцк
Renault Duster 2021Zen 1.5 D EDC (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1866793.html;22 398 $;598 743 грн;Запорожье
Renault Trafic пасс. 2021Combi 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1864428.html;27 488 $;734 800 грн;Луцк
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1858802.html;11 936 $;319 065 грн;Киев
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862569.html;16 505 $; 16 907 $;Черновцы
Renault Duster 2021Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1861796.html;17 088 $;456 800 грн;Черкассы
Renault Duster 2021Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1866196.html;18 287 $; 18 663 $;Киев
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1865090.html;28 408 $;759 392 грн;Киев
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866336.html;16 515 $;441 484 грн;Херсон
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1866783.html;26 889 $;718 800 грн;Харьков
Renault Captur 2021Zen 1.3 TCe 7-EDC (130 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1865905.html;21 510 $;575 000 грн;Луцк
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1866360.html;17 825 $;476 500 грн;Киев
Renault Sandero StepWay 2021Zen 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866610.html;16 198 $;433 000 грн;Запорожье
Renault Captur 2021Zen 1.3 TCe 7-EDC (130 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1864119.html;25 625 $;685 000 грн;Луцк
Renault Lodgy 2021Zen 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1866671.html;19 255 $;514 707 грн;Чернигов
Renault Sandero StepWay 2021Zen 0.9TCe 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866613.html;13 766 $;368 000 грн;Запорожье
Renault Lodgy 2021Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1866634.html;20 474 $;547 295 грн;Киев
Renault Megane 2020Life New 1.6 МТ (115 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1866777.html;17 956 $;480 000 грн;Харьков
Renault Sandero StepWay 20210.9TCe 5РКП (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866797.html;16 288 $;435 410 грн;Запорожье
Renault Arkana 2020Intense 1.3 TCe CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1866792.html;26 261 $;702 000 грн;Запорожье
Renault Sandero 2021Life+ 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1866305.html;11 483 $;306 965 грн;Киев
Renault Captur 20211.5 dCI 7-EDC (115 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1866794.html;24 059 $;643 147 грн;Запорожье
Renault Sandero StepWay 20200.9TCe 5РКП (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1858683.html;14 978 $;400 399 грн;Луцк
Renault Duster 2021Zen 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1866765.html;19 673 $;525 900 грн;Харьков
Renault Logan 2021Life New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1866795.html;12 007 $;320 965 грн;Запорожье
Renault Lodgy 2021Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1866454.html;20 960 $;560 300 грн;Ровно
Renault Megane 2021Zen New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1864001.html;23 044 $;616 000 грн;Черкассы
Renault Arkana 2021Life 1.6 CVT (114 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1866152.html;20 057 $;536 166 грн;Одесса
Renault Lodgy 2021Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1866085.html;20 989 $; 22 508 $;Умань
Renault Duster 2021Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1866343.html;18 862 $;504 219 грн;Херсон
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1865921.html;16 333 $;436 600 грн;Харьков
Renault Arkana 2021Zen 1.6 CVT (114 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1852217.html;21 496 $;574 620 грн;Чернигов
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866774.html;16 333 $;436 600 грн;Харьков
Renault Express 2021Zen 1.5D МТ (95 л.с.);https://auto.ria.com/newauto/auto-renault-express-1863736.html;19 482 $;520 800 грн;Луцк
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1866728.html;47 883 $;1 280 000 грн;Харьков
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1866775.html;11 937 $;319 100 грн;Харьков
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866768.html;16 232 $;433 900 грн;Харьков
Renault Duster 2021Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1866001.html;17 840 $;476 900 грн;Умань
Renault Sandero StepWay 2021Life+ 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866773.html;15 210 $;406 600 грн;Харьков
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1866086.html;13 234 $;353 771 грн;Умань
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859701.html;15 637 $;418 000 грн;Черкассы
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1863943.html;15 120 $;404 179 грн;Одесса
Renault Master груз. 2021PFG 1L324 H6 2.3D MT (125 л.с.) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1852954.html;31 349 $;838 000 грн;Луцк
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1860932.html;11 936 $;319 069 грн;Одесса
Renault Arkana 2021Life 1.6i MT (114 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1862382.html;19 029 $;508 678 грн;Черкассы
Renault Dokker груз. 2021Expression 1.5D MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1866247.html;17 582 $;470 000 грн;Херсон
Renault Logan 2021Life+ New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1861794.html;14 263 $;381 284 грн;Черкассы
Renault Duster 2021Base 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1865929.html;14 904 $; 15 210 $;Киев
Renault Dokker груз. 2021Authentique 1.6 MT (84 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1865928.html;14 667 $;392 061 грн;Киев
Renault Captur 20211.3i 7-EDC (155 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1863565.html;25 642 $;685 464 грн;Херсон
Renault Captur 2021LE Intense 1.3 TCe 7-EDC (130 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1864489.html;24 989 $;668 000 грн;Запорожье
Renault Lodgy 2021Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1858272.html;20 892 $;558 473 грн;Чернигов
Renault Dokker груз. 2021Authentique 1.6 MT (80 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1860766.html;15 119 $;404 165 грн;Киев
Renault Megane 2021Individual 1.3 TCi EDC7 (150 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1866223.html;23 841 $;637 300 грн;Одесса
Renault Sandero StepWay 20211.5DСi 5МТ (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1843141.html;16 507 $;441 252 грн;Чернигов
Renault Arkana 2021Zen 1.6 CVT (114 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1864036.html;21 308 $;569 600 грн;Харьков
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1864008.html;16 609 $;444 000 грн;Черкассы
Renault Master груз. 2021PCC 1L3 5 F6 2.3D MT (150 л.с.) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1866267.html;44 778 $;1 197 000 грн;Харьков
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1858216.html;11 911 $;318 400 грн;Киев
Renault Arkana 2020Intense 1.3 TCe CVT (150 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1846873.html;24 989 $;668 000 грн;Запорожье
Renault Dokker груз. 2020Authentique 1.5D MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1858275.html;17 582 $;470 000 грн;Луцк
Renault Megane 2020Life New 1.6 МТ (115 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1858402.html;18 031 $;482 000 грн;Луцк
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 л.с.) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1859464.html;31 790 $;849 788 грн;Черкассы
Renault Logan 2020Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1863549.html;11 971 $;320 000 грн;Киев
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860933.html;14 970 $;400 165 грн;Одесса
Renault Megane 2020Intense New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1864470.html;25 064 $;670 000 грн;Запорожье
Renault Trafic пасс. 2021Combi 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1855602.html;35 912 $;960 000 грн;Харьков
Renault Arkana 2021Zen 1.3 TCe CVT (150 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1866084.html;19 676 $; 20 874 $;Умань
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1862272.html;12 052 $;322 179 грн;Чернигов
Renault Megane 2020Intense New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1866796.html;25 064 $;670 000 грн;Запорожье
Renault Sandero StepWay 2021Zen 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866019.html;16 217 $;433 500 грн;Харьков
Renault Duster 2021Zen 1.5 D MT (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1865922.html;20 914 $;559 058 грн;Луцк
Renault Captur 2021Zen 1.3 TCe 7-EDC (130 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1865919.html;22 766 $;608 569 грн;Луцк
Renault Arkana 2021Zen 1.3 TCe CVT (150 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1866136.html;21 435 $;573 000 грн;Киев
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1848945.html;11 936 $;319 065 грн;Сумы
Renault Duster 2021Life 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1859491.html;21 510 $; 22 636 $;Луцк
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1848816.html;14 970 $;400 165 грн;Сумы
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1854229.html;43 955 $;1 175 000 грн;Харьков
Renault Master груз. 2021PCC 1L3 4 F6 2.3D MT (150 л.с.) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1861725.html;42 758 $;1 143 000 грн;Харьков
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838386.html;12 052 $;322 179 грн;Одесса
Renault Duster 2021Life 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1848798.html;18 903 $;505 300 грн;Сумы
Renault Master груз. 20212.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853050.html;46 873 $;1 253 000 грн;Харьков
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1857064.html;47 210 $;1 262 000 грн;Харьков
Renault Sandero StepWay 2021Life+ 0.9TCe 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1866133.html;13 778 $;368 300 грн;Киев
Renault Master груз. 2021PDC 1L3 5 J6 2.3D MT (125 л.с.) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1866146.html;34 629 $;925 704 грн;Одесса
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1860629.html;28 057 $;750 000 грн;Луцк
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1849971.html;44 142 $;1 180 000 грн;Харьков
Renault Master груз. 2021PCC 1L3 5 F6 2.3D MT (150 л.с.) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1858889.html;40 963 $;1 095 000 грн;Харьков
Renault Captur 2021Intense 1.3i 7-EDC (155 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1866134.html;25 176 $;673 000 грн;Киев
Renault Lodgy 2021Zen 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1865226.html;19 116 $;511 000 грн;Киев
Renault Arkana 2020Intense 1.3 TCe CVT (150 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1858239.html;24 129 $;645 000 грн;Луцк
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1826123.html;16 228 $;433 800 грн;Запорожье
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1849997.html;46 013 $;1 230 000 грн;Харьков
Renault Master груз. 2021PCC 1L3 4 F6 2.3D MT (150 л.с.) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1862004.html;47 434 $;1 268 000 грн;Харьков
Renault Express 2021Zen 1.5D МТ (95 л.с.);https://auto.ria.com/newauto/auto-renault-express-1865041.html;18 895 $;505 100 грн;Киев
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 л.с.) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1862007.html;51 063 $;1 365 000 грн;Харьков
Renault Megane 2021Intense New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1863854.html;26 606 $;711 228 грн;Одесса
Renault Captur 2021Zen 1.3 TCe 7-EDC (130 л.с.);https://auto.ria.com/newauto/auto-renault-captur-1865996.html;22 591 $;603 900 грн;Умань
Renault Trafic груз. 2021Comfort 1.6dCi MT (115 л.с.) L1H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1866002.html;26 661 $;712 700 грн;Умань
Renault Master груз. 20212.3D MT (125 л.с.) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1862835.html;31 382 $;838 900 грн;Луцк
Renault Express Van 2021Zen 1.5D МТ (95 л.с.);https://auto.ria.com/newauto/auto-renault-express-van-1862437.html;18 218 $;487 000 грн;Харьков
