Menzil;Elanin Tarixi;Giymet;Link
2-otaqlı mənzil icarəyə verilir, Sabit Orucov küç., 65 m²;Bakı,10 Sentyabr ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-sabit-orucov-kuec-65-m2-98907/
2-otaqlı mənzil, İsmayıl Məmmədov küç., 50 m²;Bakı,3 Sentyabr ;83 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-ismayil-memmedov-kuec-50-m2-95213/
4-otaqlı mənzil , Əhmədli m/st., 90 m²;Bakı,10 Sentyabr ;Elanı VIP etmək;#
4-otaqlı mənzil , Əhmədli m/st., 90 m²;Bakı,10 Sentyabr ;102 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-ehmedli-mst-90-m2-98902/
2-otaqlı mənzil icarəyə verilir, Hüseyn Cavid pr., 112 m²;Bakı,10 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-hueseyn-cavid-pr-112-m2-98894/
3-otaqlı mənzil icarəyə verilir, Əliyar Əliyev küç., 92 m²;Bakı,10 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-eliyar-eliyev-kuec-92-m2-98882/
1-otaqlı mənzil icarəyə verilir, Bünyad Sərdarov küç., 53 m²;Bakı,10 Sentyabr ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-icareye-verilir-buenyad-serdarov-kuec-53-m2-98871/
3-otaqlı mənzil , Əsəd Əhmədov küç., 100.3 m²;Bakı,10 Sentyabr ;135 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-esed-ehmedov-kuec-1003-m2-98865/
2-otaqlı mənzil icarəyə verilir, Heydər Əliyev pr., 100 m²;Bakı,10 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-heyder-eliyev-pr-100-m2-98858/
3-otaqlı mənzil icarəyə verilir, Salatın Əsgərova küç., 106 m²;Bakı,10 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-salatin-esgerova-kuec-106-m2-98805/
4-otaqlı mənzil , Antalya ş., 170 m²;Digər,10 Sentyabr ;121 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-antalya-s-170-m2-98806/
2-otaqlı mənzil icarəyə verilir, Hüseyn Cavid pr. 5258, 112 m²;Bakı,10 Sentyabr ;800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-hueseyn-cavid-pr-5258-112-m2-98801/
3-otaqlı mənzil , Mir Cəlal küç. 22, 50 m²;Bakı, 10 Sentyabr ;76 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-mir-celal-kuec-22-50-m2-98800/
3-otaqlı mənzil , Qaraçuxur qəs., 104 m²;Bakı,10 Sentyabr ;110 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-qaracuxur-qes-104-m2-98796/
3-otaqlı mənzil , 9-cu mkr., 83 m²;Bakı,10 Sentyabr ;78 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-9-cu-mkr-83-m2-98777/
2-otaqlı mənzil , Saray qəs., 75 m²;Sumqayıt,9 Sentyabr ;32 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-saray-qes-75-m2-98694/
5-otaqlı mənzil , Xətai rayonu, 283 m²;Bakı,9 Sentyabr ;930 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/5-otaqli-menzil-satilir-xetai-rayonu-283-m2-98667/
4-otaqlı mənzil , Binəqədi r., 205 m²;Bakı,9 Sentyabr ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-bineqedi-r-205-m2-98643/
3-otaqlı mənzil , Nərimanov r., 108 m²;Bakı,9 Sentyabr ;310 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-108-m2-98635/
3-otaqlı mənzil , Nəsimi r. , 160 m²;Bakı,9 Sentyabr ;540 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nesimi-r-160-m2-98630/
1-otaqlı mənzil , Köhnə Günəşli qəs., 35 m²;Bakı,9 Sentyabr ;52 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-koehne-guenesli-qes-35-m2-98629/
3-otaqlı mənzil , Nəsimi r., 140 m²;Bakı,9 Sentyabr ;350 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nesimi-r-140-m2-98628/
3-otaqlı mənzil , Əliyar Əliyev küç. , 100 m²;Bakı,9 Sentyabr ;125 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-eliyar-eliyev-kuec-100-m2-98623/
8-otaqlı mənzil , Nərimanov r., 499 m²;Bakı,9 Sentyabr ;1 280 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/8-otaqli-menzil-satilir-nerimanov-r-499-m2-98622/
7-otaqlı mənzil , Yasamal r. , 462 m²;Bakı,9 Sentyabr ;1 705 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/7-otaqli-menzil-satilir-yasamal-r-462-m2-98620/
2-otaqlı mənzil icarəyə verilir, Əsəd Əhmədov küç., 54 m²;Bakı,9 Sentyabr ;350 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-esed-ehmedov-kuec-54-m2-98602/
3-otaqlı mənzil , Memar Əcəmi m\st., 116 м²;Bakı,9 Sentyabr ;142 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-memar-ecemi-mst-116-m2-98596/
3-otaqlı mənzil , Əsəd Əhmədov küç., 128 m²;Bakı,9 Sentyabr ;155 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-esed-ehmedov-kuec-128-m2-98593/
2-otaqlı mənzil icarəyə verilir, Fətəli Xan Xoyski küç., 52 m²;Bakı,9 Sentyabr ;400 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-feteli-xan-xoyski-kuec-52-m2-98589/
3-otaqlı mənzil , Xırdalan ş., 55 m²;Xırdalan,9 Sentyabr ;47 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xirdalan-s-55-m2-98580/
3-otaqlı mənzil , Mərkəzi Bulvar küç., 157 m²;Bakı,9 Sentyabr ;314 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-merkezi-bulvar-kuec-157-m2-98581/
2-otaqlı mənzil , Xırdalan ş., 62 m²;Xırdalan,9 Sentyabr ;28 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-62-m2-98585/
3-otaqlı mənzil , Q.Qarayev m/st., 98 m²;Bakı,9 Sentyabr ;163 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-qqarayev-mst-98-m2-98594/
2-otaqlı mənzil icarəyə verilir, Ş.İ.Xətai m/st., 90 m²;Bakı,9 Sentyabr ;650 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-sixetai-mst-90-m2-98591/
3-otaqlı mənzil icarəyə verilir, Ü.Hacıbəyov küç., 120 m²;Bakı,9 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-uehacibeyov-kuec-120-m2-98573/
3-otaqlı mənzil icarəyə verilir, Həsən Salmani küç., 95 m²;Bakı,9 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-hesen-salmani-kuec-95-m2-98535/
4-otaqlı mənzil , Qara Qarayev m/st., 100 m²;Bakı,9 Sentyabr ;150 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-qara-qarayev-mst-100-m2-98531/
3-otaqlı mənzil, 4-cü mkr., 97 m²;Bakı,9 Sentyabr ;107 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-4-cue-mkr-97-m2-98529/
2-otaqlı mənzil, 9-cu mkr., 50 m²;Bakı,9 Sentyabr ;74 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-9-cu-mkr-50-m2-98518/
4-otaqlı mənzil icarəyə verilir, Neftçilər pr., 220 m²;Bakı,9 Sentyabr ;2 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-neftciler-pr-220-m2-98524/
2-otaqlı mənzil, 20 Yanvar m/st., 68 м²;Bakı,9 Sentyabr ;92 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-20-yanvar-mst-68-m2-98492/
4-otaqlı mənzil , Nərimanov r., 215 m²;Bakı,9 Sentyabr ;385 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nerimanov-r-215-m2-98487/
4-otaqlı mənzil icarəyə verilir, Aşıq Molla Cümə küç. 7E, 165 m²;Bakı,9 Sentyabr ;800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-asiq-molla-cueme-kuec-7e-165-m2-98485/
2-otaqlı mənzil, Mir Cəlal küç., 74 м²;Bakı,9 Sentyabr ;90 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-mir-celal-kuec-74-m2-98483/
3-otaqlı mənzil , Yeni Yasamal qəs., 150 m²;Bakı,9 Sentyabr ;300 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yeni-yasamal-qes-150-m2-98457/
4-otaqlı mənzil , Dilarə Əliyeva küç., 189 m²;Bakı,9 Sentyabr ;770 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-dilare-eliyeva-kuec-189-m2-98447/
2-otaqlı mənzil icarəyə verilir, Fikrət Əmirov küç. 2, 70 m²;Bakı,9 Sentyabr ;550 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-fikret-emirov-kuec-2-70-m2-98407/
4-otaqlı mənzil , Abdulvahab Salamzadə küç., 215 m²;Bakı,9 Sentyabr ;295 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-abdulvahab-salamzade-kuec-215-m2-98404/
3-otaqlı mənzil, Arif Heydərov küç. 26, 60 м²;Bakı,9 Sentyabr ;105 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-arif-heyderov-kuec-26-60-m2-98382/
3-otaqlı mənzil icarəyə verilir, Biləcəri qəs., 60 m²;Bakı,9 Sentyabr ;350 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-bileceri-qes-60-m2-98380/
2-otaqlı mənzil icarəyə verilir, 20 Yanvar m., 50 m²;Bakı,9 Sentyabr ;320 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-20-yanvar-m-50-m2-98373/
4-otaqlı mənzil icarəyə verilir, Xocalı pr. 36, 105 m²;Bakı,9 Sentyabr ;700 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-xocali-pr-36-105-m2-98366/
2-otaqlı mənzil , Cavanşir küç., 61 m²;Bakı,9 Sentyabr ;77 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-cavansir-kuec-61-m2-98354/
2-otaqlı mənzil, İsmayıl Məmmədov küç., 50 m²;Bakı,3 Sentyabr ;83 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-ismayil-memmedov-kuec-50-m2-95213/
3-otaqlı mənzil , Əliyar Əliyev küç., 95 m²;Bakı,9 Sentyabr ;Elanı VIP etmək;#
3-otaqlı mənzil , Əliyar Əliyev küç., 95 m²;Bakı,9 Sentyabr ;175 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-eliyar-eliyev-kuec-95-m2-98347/
2-otaqlı mənzil , Həsən Bəy Zərdabi küç., 80 m²;Bakı,9 Sentyabr ;125 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-hesen-bey-zerdabi-kuec-80-m2-98346/
3-otaqlı mənzil , Xudu Məmmədov küç., 125 m²;Bakı,9 Sentyabr ;160 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xudu-memmedov-kuec-125-m2-98345/
3-otaqlı mənzil , Atatürk pr., 78 m²;Bakı,9 Sentyabr ;138 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-atatuerk-pr-78-m2-98333/
2-otaqlı mənzil icarəyə verilir, Gəncə pr., 84 m²;Bakı,9 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-gence-pr-84-m2-98330/
3-otaqlı mənzil icarəyə verilir, Sübhi Salayev küç. 16, 100 m²;Bakı,9 Sentyabr ;900 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-suebhi-salayev-kuec-16-100-m2-98328/
3-otaqlı mənzil , Binəqədi r., 98 m²;Bakı,9 Sentyabr ;155 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-bineqedi-r-98-m2-98327/
3-otaqlı mənzil , Şərifzadə küç., 145 m²;Bakı,9 Sentyabr ;225 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-serifzade-kuec-145-m2-98316/
3-otaqlı mənzil , Koroğlu Rəhimov küç., 105 m²;Bakı,9 Sentyabr ;215 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-koroglu-rehimov-kuec-105-m2-98321/
3-otaqlı mənzil , Azadlıq pr., 155 m²;Bakı,9 Sentyabr ;350 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-azadliq-pr-155-m2-98304/
2-otaqlı mənzil, Yeni Yasamal qəs., 90 m²;Bakı,9 Sentyabr ;120 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-yeni-yasamal-qes-90-m2-98296/
3-otaqlı mənzil , Təbriz küç., 153 m²;Bakı,9 Sentyabr ;214 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-tebriz-kuec-153-m2-98302/
3-otaqlı mənzil , Qarabağ küç., 147 m²;Bakı,9 Sentyabr ;204 400 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-qarabag-kuec-147-m2-98297/
4-otaqlı mənzil , Qarabağ küç., 205 m²;Bakı,9 Sentyabr ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-qarabag-kuec-205-m2-98293/
2-otaqlı mənzil icarəyə verilir, İ.B.Qutqaşınlı., 90 m²;Bakı,9 Sentyabr ;800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-ibqutqasinli-90-m2-98291/
4-otaqlı mənzil , Əliəşrəf Əlizadə küç., 237 m²;Bakı,9 Sentyabr ;325 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-eliesref-elizade-kuec-237-m2-98286/
2-otaqlı mənzil , İnqilab İsmayılov küç., 55 m²;Bakı,9 Sentyabr ;73 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-inqilab-ismayilov-kuec-55-m2-98283/
2-otaqlı mənzil , Əsəd Əhmədov küç., 66 m²; Bakı,9 Sentyabr ;86 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-esed-ehmedov-kuec-66-m2-98279/
3-otaqlı mənzil icarəyə verilir, Səbail r. 16, 80 m²;Bakı,9 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-sebail-r-16-80-m2-98278/
4-otaqlı mənzil , Əliyar Əliyev küç., 181 m²; Bakı,9 Sentyabr ;220 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-eliyar-eliyev-kuec-181-m2-98275/
3-otaqlı mənzil , Montin qəs., 103 m²;Bakı,9 Sentyabr ;155 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-montin-qes-103-m2-98272/
2-otaqlı mənzil icarəyə verilir, Qarabağ küç., 90 m²;Bakı,9 Sentyabr ;550 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-qarabag-kuec-90-m2-98269/
2-otaqlı mənzil , Əsəd Əhmədov küç., 65 m²;Bakı,9 Sentyabr ;85 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-esed-ehmedov-kuec-65-m2-98251/
1-otaqlı mənzil icarəyə verilir, B.Sərdarov küç., 60 m²;Bakı,9 Sentyabr ;550 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-icareye-verilir-bserdarov-kuec-60-m2-98249/
2-otaqlı mənzil , Yeni Günəşli qəs., 70 m²;Bakı,9 Sentyabr ;30 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-yeni-guenesli-qes-70-m2-98215/
2-otaqlı mənzil , Elşən Süleymanov küç., 54 m²;Bakı,9 Sentyabr ;78 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-elsen-sueleymanov-kuec-54-m2-98207/
3-otaqlı mənzil , Ceyranbatan qəs., 76 m²;Bakı,9 Sentyabr ;72 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ceyranbatan-qes-76-m2-97882/
1-otaqlı mənzil icarəyə verilir, 9-cu mkr., 53 m²;Bakı,9 Sentyabr ;320 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-icareye-verilir-9-cu-mkr-53-m2-98161/
2-otaqlı mənzil , Badamdar qəs., 76 m²;Bakı,9 Sentyabr ;118 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-badamdar-qes-76-m2-98169/
3-otaqlı mənzil , Əliağa Vahid küç., 92 m²;Bakı,9 Sentyabr ;99 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-eliaga-vahid-kuec-92-m2-98177/
2-otaqlı mənzil icarəyə verilir, Təbriz küç., 75 m²;Bakı,8 Sentyabr ;700 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-tebriz-kuec-75-m2-98160/
3-otaqlı mənzil , Həsən Əliyev küç., 111 m²;Bakı,8 Sentyabr ;185 370 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hesen-eliyev-kuec-111-m2-98134/
3-otaqlı mənzil , Nərimanov r., 134 m²;Bakı,8 Sentyabr ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-134-m2-98122/
3-otaqlı mənzil , Xətai r., 155 m²;Bakı,8 Sentyabr ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xetai-r-155-m2-98123/
2-otaqlı mənzil , Xırdalan ş., 55 m²;Xırdalan,8 Sentyabr ;48 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-55-m2-98121/
4-otaqlı mənzil , Nəsimi r., 192 m²;Bakı,8 Sentyabr ;325 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-192-m2-98119/
4-otaqlı mənzil , Nəsimi r., 192 m²;Bakı,8 Sentyabr ;355 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-192-m2-98118/
5-otaqlı mənzil , Nəsimi r., 231 m²;Bakı,8 Sentyabr ;530 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/5-otaqli-menzil-satilir-nesimi-r-231-m2-98112/
3-otaqlı mənzil , Nərimanov r., 188 m²;Bakı,8 Sentyabr ;420 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-188-m2-98114/
4-otaqlı mənzil , Nəsimi r., 199 m²;Bakı,8 Sentyabr ;550 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-199-m2-98101/
3-otaqlı mənzil , Yeni Yasamal qəs., 81 m²;Bakı,8 Sentyabr ;128 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yeni-yasamal-qes-81-m2-98099/
5-otaqlı mənzil , Yasamal r., 281 m²;Bakı,8 Sentyabr ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/5-otaqli-menzil-satilir-yasamal-r-281-m2-98093/
3-otaqlı mənzil , Məhəmməd Xiyabani küç., 120 m²;Bakı,8 Sentyabr ;150 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-mehemmed-xiyabani-kuec-120-m2-98090/
3-otaqlı mənzil , Hüseyn Cavid pr.46, 137 m²;Bakı,8 Sentyabr ;295 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hueseyn-cavid-pr46-137-m2-98088/
2-otaqlı mənzil icarəyə verilir, Cavadxan küç., 100 m²;Bakı,8 Sentyabr ;450 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-cavadxan-kuec-100-m2-98063/
1-otaqlı mənzil , Cavadxan küç., 35 m²;Bakı,8 Sentyabr ;53 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-cavadxan-kuec-35-m2-98061/
2-otaqlı mənzil , Gəncə pr., 47 m²;Bakı,8 Sentyabr ;53 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-gence-pr-47-m2-98054/
3-otaqlı mənzil , Abbas Mirzə Şərifzadə küç., 115 m²;Bakı,8 Sentyabr ;180 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-abbas-mirze-serifzade-kuec-115-m2-98052/
2-otaqlı mənzil , Masazır qəs., 51 m²;Bakı,8 Sentyabr ;45 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-masazir-qes-51-m2-98026/
2-otaqlı mənzil icarəyə verilir, Məhəmməd Xiyabani küç., 75 m²;Bakı,8 Sentyabr ;450 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-mehemmed-xiyabani-kuec-75-m2-98019/
