Menzil;Elanin Tarixi;Giymet;Link
2-otaqlı mənzil, İsmayıl Məmmədov küç., 50 m²;Bakı,3 Sentyabr ;83 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-ismayil-memmedov-kuec-50-m2-95213/
3-otaqlı mənzil , İnşaatçılar m\st., 85 m²;Bakı,8 Sentyabr ;Elanı VIP etmək;#
3-otaqlı mənzil , İnşaatçılar m\st., 85 m²;Bakı,8 Sentyabr ;165 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-insaatcilar-mst-85-m2-97952/
4-otaqlı mənzil , Əliyar Əliyev küç., 141 m²;Bakı,8 Sentyabr ;205 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-eliyar-eliyev-kuec-141-m2-97936/
2-otaqlı mənzil , Xalqlar m\st., 50 m²;Bakı,8 Sentyabr ;89 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xalqlar-mst-50-m2-97910/
3-otaqlı mənzil icarəyə verilir, Nərimanov m\st., 130 m²;Bakı,8 Sentyabr ;1 300 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-nerimanov-mst-130-m2-97906/
3-otaqlı mənzil icarəyə verilir, Həsənoğlu küç., 115 m²;Bakı,8 Sentyabr ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-hesenoglu-kuec-115-m2-97903/
2-otaqlı mənzil icarəyə verilir, Nizami küç. 60, 40 m²;Bakı,8 Sentyabr ;750 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-nizami-kuec-60-40-m2-97890/
3-otaqlı mənzil , İnşaatçılar pr., 185 m²;Bakı,8 Sentyabr ;320 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-insaatcilar-pr-185-m2-97868/
3-otaqlı mənzil , Nərimanov r., 158 m²;Bakı,8 Sentyabr ;330 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-158-m2-97867/
3-otaqlı mənzil , Inşaatçılar pr., 185 m²;Bakı,8 Sentyabr ;320 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-insaatcilar-pr-185-m2-97858/
2-otaqlı mənzil icarəyə verilir, Gülbala Əliyev küç. 9, 64 m²;Bakı,8 Sentyabr ;690 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-guelbala-eliyev-kuec-9-64-m2-97859/
4-otaqlı mənzil icarəyə verilir, Səməd Vurğun küç., 220 m²;Bakı,8 Sentyabr ;1 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-semed-vurgun-kuec-220-m2-97852/
4-otaqlı mənzil , Yasamal r., 176 m²;Bakı,8 Sentyabr ;420 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-yasamal-r-176-m2-97856/
3-otaqlı mənzil , Insaatcilar pr, 128 m²;Bakı,8 Sentyabr ;280 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-insaatcilar-pr-128-m2-97875/
2-otaqlı mənzil , Rüstəm Rüstəmov küç., 61 m²;Bakı,8 Sentyabr ;98 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-ruestem-ruestemov-kuec-61-m2-97827/
2-otaqlı mənzil icarəyə verilir, Hüseyn Cavid pr., 101 m²;Bakı,24 Avqust ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-hueseyn-cavid-pr-101-m2-89587/
4-комн. квартира, ул. Рашида Бейбутова, 158 м²;Bakı,8 Sentyabr ;400 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-komn-kvartira-ul-rashida-bejbutova-158-m2-97817/
3-otaqlı mənzil icarəyə verilir, Cəlil Məmmədquluzadə küç., 127 m²;Bakı,24 Avqust ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-celil-memmedquluzade-kuec-127-m2-89734/
4-otaqlı mənzil , N.Nərimanov r., 178 m²;Bakı,8 Sentyabr ;360 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nnerimanov-r-178-m2-97807/
2-otaqlı mənzil , 4-cü mkr., 48 m²;Bakı,8 Sentyabr ;79 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-4-cue-mkr-48-m2-97808/
2-otaqlı mənzil , Dadaş Bünyadzadə küç. 11E, 70 m²;Bakı,8 Sentyabr ;90 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-dadas-buenyadzade-kuec-11e-70-m2-97803/
3-otaqlı mənzil , Sabunçu r., 47 m²;Bakı,8 Sentyabr ;29 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-sabuncu-r-47-m2-97796/
3-otaqlı mənzil , Yeni Yasamal qəs., 152.5 m²;Bakı,8 Sentyabr ;198 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yeni-yasamal-qes-1525-m2-97788/
2-otaqlı mənzil icarəyə verilir, Məhəmməd Naxçıvani küç., 120 m²;Bakı,8 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-mehemmed-naxcivani-kuec-120-m2-97787/
2-otaqlı mənzil icarəyə verilir, Həsən bəy Zərdabi pr., 96 m²;Bakı,8 Sentyabr ;450 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-hesen-bey-zerdabi-pr-96-m2-97769/
3-otaqlı mənzil icarəyə verilir, Fariz Yusifov küç., 140 m²;Bakı,8 Sentyabr ;750 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-fariz-yusifov-kuec-140-m2-97766/
2-otaqlı mənzil , Masazır qəs., 58 m²;Bakı,8 Sentyabr ;63 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-masazir-qes-58-m2-97760/
3-otaqlı mənzil , Əhmədli qəs., 110 m²;Bakı,8 Sentyabr ;135 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ehmedli-qes-110-m2-97757/
4-otaqlı mənzil icarəyə verilir, Nərimanov r., 148 m²;Bakı,8 Sentyabr ;1 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-nerimanov-r-148-m2-97755/
2-otaqlı mənzil icarəyə verilir, Mir Cəlal küç., 65 m²;Bakı,8 Sentyabr ;400 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-mir-celal-kuec-65-m2-97750/
2-otaqlı mənzil , Abbas Mirzə Şərifzadə küç., 86 m²;Bakı,8 Sentyabr ;148 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-abbas-mirze-serifzade-kuec-86-m2-97736/
3-otaqlı mənzil , Xətai pr., 152 m²;Bakı,8 Sentyabr ;285 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xetai-pr-152-m2-97735/
3-otaqlı mənzil günlük icarəyə verilir, Cavadxan küç., 100 m²;Bakı,8 Sentyabr ;140 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-guenluek-icareye-verilir-cavadxan-kuec-100-m2-97731/
2-otaqlı mənzil icarəyə verilir, Qurban Xəlilov küç., 75 m²;Bakı,8 Sentyabr ;650 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-qurban-xelilov-kuec-75-m2-97730/
3-otaqlı mənzil , Akim Abbasov küç., 85 m²;Bakı,8 Sentyabr ;170 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-akim-abbasov-kuec-85-m2-97729/
3-otaqlı mənzil icarəyə verilir, Dadaş Bünyadzadə küç, 85 m²;Bakı,8 Sentyabr ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-dadas-buenyadzade-kuec-85-m2-97727/
1-otaqlı mənzil icarəyə verilir, Əcəmi Naxçıvani küç. , 60 m²;Bakı,8 Sentyabr ;450 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-icareye-verilir-ecemi-naxcivani-kuec-60-m2-97708/
3-otaqlı mənzil icarəyə verilir, Tbilisi pr., 140 m²;Bakı,8 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-tbilisi-pr-140-m2-97707/
3-otaqlı mənzil , Əsəd Əhmədov küç., 95 m²;Bakı,8 Sentyabr ;120 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-esed-ehmedov-kuec-95-m2-97703/
3-otaqlı mənzil icarəyə verilir, Hacı Məmmədov küç., 120 m²;Bakı,8 Sentyabr ;700 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-haci-memmedov-kuec-120-m2-97686/
4-otaqlı mənzil , Azadlıq pr., 205 m²;Bakı,8 Sentyabr ;590 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-azadliq-pr-205-m2-97698/
2-otaqlı mənzil , Əsəd Əhmədov küç., 80 m²;Bakı,8 Sentyabr ;120 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-esed-ehmedov-kuec-80-m2-97690/
3-otaqlı mənzil icarəyə verilir, Hüseyn Cavid pr., 65 m²;Bakı,8 Sentyabr ;570 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-hueseyn-cavid-pr-65-m2-97687/
3-otaqlı mənzil icarəyə verilir, Tbilisi pr., 145 m²;Bakı,8 Sentyabr ;1 300 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-tbilisi-pr-145-m2-97683/
2-otaqlı mənzil icarəyə verilir, Həsən bəy Zərdabi pr., 45 m²;Bakı,8 Sentyabr ;350 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-hesen-bey-zerdabi-pr-45-m2-97679/
1-otaqlı mənzil icarəyə verilir, Elmlər Akademiyası m\st., 60 m²;Bakı,8 Sentyabr ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-icareye-verilir-elmler-akademiyasi-mst-60-m2-97678/
4-otaqlı mənzil , Üzeyir Hacıbəyli küç., 200 m²;Bakı,8 Sentyabr ;870 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-uezeyir-hacibeyli-kuec-200-m2-97676/
2-otaqlı mənzil icarəyə verilir, 20 Yanvar m/st., 92 m²;Bakı,8 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-20-yanvar-mst-92-m2-97667/
2-otaqlı mənzil , Əsəd Əhmədov küç., 83 m²;Bakı,8 Sentyabr ;120 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-esed-ehmedov-kuec-83-m2-97660/
2-otaqlı mənzil , Faiq Yusifov küç., 115 m²;Bakı,8 Sentyabr ;175 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-faiq-yusifov-kuec-115-m2-97655/
3-otaqlı mənzil , Təbriz küç., 165 m²;Bakı,8 Sentyabr ;265 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-tebriz-kuec-165-m2-97602/
2-otaqlı mənzil, İsmayıl Məmmədov küç., 50 m²;Bakı,3 Sentyabr ;83 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-ismayil-memmedov-kuec-50-m2-95213/
2-otaqlı mənzil , Aşıq Alı küç., 101 m²;Bakı,8 Sentyabr ;Elanı VIP etmək;#
2-otaqlı mənzil , Aşıq Alı küç., 101 m²;Bakı,8 Sentyabr ;189 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-asiq-ali-kuec-101-m2-97600/
4-otaqlı mənzil , Xurşid Ağayev küç. 3, 90 m²;Bakı,8 Sentyabr ;95 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-xursid-agayev-kuec-3-90-m2-97356/
4-otaqlı mənzil icarəyə verilir, Atatürk pr. 37a, 110 m²;Bakı,8 Sentyabr ;100 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-atatuerk-pr-37a-110-m2-97313/
2-otaqlı mənzil , Alı Mustafayev küç. 15, 36 m²;Bakı,8 Sentyabr ;61 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-ali-mustafayev-kuec-15-36-m2-97577/
3-otaqlı mənzil , 7-ci mkr., 61 m²;Bakı,7 Sentyabr ;84 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-7-ci-mkr-61-m2-97454/
1-otaqlı mənzil , Rüstəm Rüstəmov küç., 20 m²;Bakı,7 Sentyabr ;35 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-ruestem-ruestemov-kuec-20-m2-97434/
3-otaqlı mənzil , Bəsti Bağırova küç., 140 m²;Bakı,7 Sentyabr ;240 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-besti-bagirova-kuec-140-m2-97433/
4-otaqlı mənzil icarəyə verilir, 8-ci mkr., 180 m²;Bakı,7 Sentyabr ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-8-ci-mkr-180-m2-97412/
1-otaqlı mənzil , Yeni Günəşlik qəs. , 46 m²;Bakı,7 Sentyabr ;44 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-yeni-gueneslik-qes-46-m2-97418/
2-otaqlı mənzil , Bayıl qəs., 47 m²;Bakı,7 Sentyabr ;110 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-bayil-qes-47-m2-97409/
2-otaqlı mənzil , Xudu Məmmədov küç. 38 , 82.4 m²;Bakı,7 Sentyabr ;128 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xudu-memmedov-kuec-38-824-m2-97406/
4-otaqlı mənzil , Nəsimi r., 185 m²;Bakı,7 Sentyabr ;375 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-185-m2-97393/
3-otaqlı mənzil , Nərimanov r., 138 m²;Bakı,7 Sentyabr ;230 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-138-m2-97392/
3-otaqlı mənzil , Yasamal r., 130 m²;Bakı,7 Sentyabr ;300 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yasamal-r-130-m2-97386/
4-otaqlı mənzil , Nəsimi r., 244 m²;Bakı,7 Sentyabr ;450 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-244-m2-97375/
3-otaqlı mənzil icarəyə verilir, Landau küç., 160 m²;Bakı,7 Sentyabr ;1 200 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-landau-kuec-160-m2-97328/
3-otaqlı mənzil , Biləcəri qəs., 70 m²;Bakı,7 Sentyabr ;40 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-bileceri-qes-70-m2-97357/
2-otaqlı mənzil icarəyə verilir, Natiq Əliyev küç., 90 m²;Bakı,7 Sentyabr ;450 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-natiq-eliyev-kuec-90-m2-97353/
2-otaqlı mənzil icarəyə verilir, Möhsün Sənani küç., 50 m²;Bakı,7 Sentyabr ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-moehsuen-senani-kuec-50-m2-97350/
3-otaqlı mənzil , Ağa Nemətulla küç., 110 m²;Bakı,7 Sentyabr ;169 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-aga-nemetulla-kuec-110-m2-97349/
4-otaqlı mənzil , Abbas Mirzə Şərifzadə küç., 97 m²;Bakı,7 Sentyabr ;120 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-abbas-mirze-serifzade-kuec-97-m2-97338/
3-otaqlı mənzil icarəyə verilir, Sübhi Salayev küç., 94 m²;Bakı,7 Sentyabr ;750 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-suebhi-salayev-kuec-94-m2-97327/
4-otaqlı mənzil icarəyə verilir, 28 May m\st., 220 m²;Bakı,7 Sentyabr ;1 400 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-28-may-mst-220-m2-97309/
3-otaqlı mənzil , Həsən Bəy Zərdabi pr., 115 m²;Bakı,7 Sentyabr ;179 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hesen-bey-zerdabi-pr-115-m2-97304/
4-otaqlı mənzil , Əliyar Əliyev küç. 32, 141 m²;Bakı,7 Sentyabr ;204 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-eliyar-eliyev-kuec-32-141-m2-97308/
3-otaqlı mənzil icarəyə verilir, 7-ci mkr., 83 m²;Bakı,7 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-7-ci-mkr-83-m2-97287/
2-otaqlı mənzil , Xətai r., 89 m²;Bakı,7 Sentyabr ;129 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xetai-r-89-m2-97270/
3-otaqlı mənzil , Yeni Günəşli qəs., 128 m²;Bakı,7 Sentyabr ;133 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yeni-guenesli-qes-128-m2-97266/
3-otaqlı mənzil , Neftçilər m/st., 87 m²;Bakı,7 Sentyabr ;135 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-neftciler-mst-87-m2-97276/
3-otaqlı mənzil , Həzi Aslanov m\st., 96 m²;Bakı,7 Sentyabr ;141 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hezi-aslanov-mst-96-m2-97264/
2-otaqlı mənzil , Qara Qarayev m\st., 77 m²;Bakı,7 Sentyabr ;125 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-qara-qarayev-mst-77-m2-97254/
3-otaqlı mənzil icarəyə verilir, 8 Noyabr pr., 70 m²;Bakı,7 Sentyabr ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-8-noyabr-pr-70-m2-97253/
2-otaqlı mənzil , 8-ci mkr., 55 m²;Bakı,7 Sentyabr ;72 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-8-ci-mkr-55-m2-97244/
2-otaqlı mənzil , Əhmədli qəs., 98 m²;Bakı,7 Sentyabr ;160 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-ehmedli-qes-98-m2-97233/
3-otaqlı mənzil , Faiq Yusifov küç., 40 m²;Bakı,7 Sentyabr ;60 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-faiq-yusifov-kuec-40-m2-97232/
4-otaqlı mənzil , Əllyar Əliyev küç., 100 m²;Bakı,7 Sentyabr ;180 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-ellyar-eliyev-kuec-100-m2-97230/
2-otaqlı mənzil , Həzi Aslanov m\st., 55 m²;Bakı,7 Sentyabr ;74 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-hezi-aslanov-mst-55-m2-97221/
2-otaqlı mənzil , Mirmahmud Kazımovski küç., 70 m²;Bakı,7 Sentyabr ;97 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-mirmahmud-kazimovski-kuec-70-m2-97217/
3-otaqlı mənzil icarəyə verilir, Mir Cəlal küç., 100 m²;Bakı,7 Sentyabr ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-mir-celal-kuec-100-m2-97213/
2-otaqlı mənzil icarəyə verilir, Xocalı pr., 85 m²;Bakı,7 Sentyabr ;800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-xocali-pr-85-m2-97202/
3-otaqlı mənzil , Yeni Günəşli qəs., 128 m²;Bakı,7 Sentyabr ;133 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yeni-guenesli-qes-128-m2-97200/
1-otaqlı mənzil , Qara Qarayev pr., 40 m²;Bakı,7 Sentyabr ;68 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-qara-qarayev-pr-40-m2-97197/
3-otaqlı mənzil , Badamdar qəs., 100 m²;Bakı,7 Sentyabr ;142 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-badamdar-qes-100-m2-97194/
2-otaqlı mənzil , Tağı Şahbazi küç., 50 m²;Bakı,7 Sentyabr ;90 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-tagi-sahbazi-kuec-50-m2-97192/
2-otaqlı mənzil , Əsəd Əhmədov küç., 60 m²;Bakı,7 Sentyabr ;87 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-esed-ehmedov-kuec-60-m2-97185/
2-otaqlı mənzil icarəyə verilir, Svetlana Məmmədova küç., 75 m²;Bakı,7 Sentyabr ;400 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-svetlana-memmedova-kuec-75-m2-97179/
3-otaqlı mənzil , Dadaş Bünyadzadə küç., 127 m²;Bakı,7 Sentyabr ;160 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-dadas-buenyadzade-kuec-127-m2-97177/
3-otaqlı mənzil , Əbdülvahab Salamzadə küç., 120 m²;Bakı,7 Sentyabr ;215 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ebduelvahab-salamzade-kuec-120-m2-97174/
2-otaqlı mənzil icarəyə verilir, Xətai m\st., 106 m²;Bakı,7 Sentyabr ;800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-xetai-mst-106-m2-97172/
2-otaqlı mənzil icarəyə verilir, Natiq Əliyev küç., 85 m²;Bakı,7 Sentyabr ;450 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-natiq-eliyev-kuec-85-m2-97157/
